大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,24652199,钦州市博物馆,4.5,24,,钦州,钦州,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103512000atueenh3FB4.jpg,https://you.ctrip.com/sight/qinzhou697/1833039.html?scene=onlinesearch,21.950325,108.62818
知识科普型,博物馆,79437586,北部湾海洋文化博物馆,4.3,12,防城港北站/北部湾海洋文化公园,防城港,防城港 · 防城港北站/北部湾海洋文化公园,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0107212000atcw5blAB24.jpg,https://you.ctrip.com/sight/fangchenggang698/5703879.html?scene=onlinesearch,21.691531,108.35753
知识科普型,博物馆,79437594,东兴京族生态博物馆,4.2,5,万尾金滩,东兴,东兴 · 万尾金滩,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0103912000f6q8rl3165D.jpg,https://you.ctrip.com/sight/dongxing964/5703927.html?scene=onlinesearch,21.532941,108.165547
知识科普型,博物馆,38395814,贵港市博物馆,4.8,6,贵港市体育中心/万达广场(贵港港北店),贵港,贵港 · 贵港市体育中心/万达广场(贵港港北店),,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104g12000a89erd5CC30.jpg,https://you.ctrip.com/sight/guigang711/2585775.html?scene=onlinesearch,23.125755,109.588049
知识科普型,博物馆,96881,长寿博物馆,5.0,11,,巴马,巴马,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102l12000f6sfnqe0591.jpg,https://you.ctrip.com/sight/bama3041/135108.html?scene=onlinesearch,24.151327,107.268124
知识科普型,博物馆,145570500,北海博物馆,2.0,2,北海站/主城区,北海,北海 · 北海站/主城区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1mh6l12000elztps88C73.jpg,https://you.ctrip.com/sight/beihai140/145570500.html?scene=onlinesearch,21.443846,109.16734
知识科普型,博物馆,38388161,贺州市博物馆,4.1,15,贺州市中心商圈,贺州,贺州 · 贺州市中心商圈,,,国家三级博物馆,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105z12000a86xhal6884.jpg,https://you.ctrip.com/sight/hezhou707/2578122.html?scene=onlinesearch,24.416132,111.556536
知识科普型,博物馆,24654328,玉林市博物馆,4.2,44,文化广场,玉林,玉林 · 文化广场,,,文物众多，展现玉林历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106c12000ifz3i3pA008.jpg,https://you.ctrip.com/sight/yulin141/1835161.html?scene=onlinesearch,22.657758,110.191364
知识科普型,博物馆,26653013,北海贝雕博物馆,4.3,66,北海老街/金滩,北海,北海 · 北海老街/金滩,,,珍藏贝类文物,"博物馆, 博物馆&展馆",门票,否,https://dimg04.c-ctrip.com/images/0105d12000iv9hrdz9415.jpg,https://you.ctrip.com/sight/beihai140/1913585.html?scene=onlinesearch,21.472265,109.105017
知识科普型,博物馆,51549040,崇左市壮族博物馆,4.9,15,市政府/太平古城,崇左,崇左 · 市政府/太平古城,,,了解壮族历史文化,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102i12000f6u2wvgD58A.jpg,https://you.ctrip.com/sight/chongzuo837/4553349.html?scene=onlinesearch,22.378238,107.373127
知识科普型,博物馆,24654129,瑶族博物馆,4.2,16,,金秀,金秀,,,"是金秀展示瑶族文化的重要窗口, 以瑶族题材为主，是瑶族社会的一个缩影","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104712000hr6ucb103E9.jpg,https://you.ctrip.com/sight/jinxiu1445186/1834875.html?scene=onlinesearch,24.13943,110.197731
知识科普型,博物馆,79437570,三江侗族自治县博物馆,4.5,2,,三江,三江,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01A5o120008o34hno3D6F.jpg,https://you.ctrip.com/sight/sanjiang975/5703924.html?scene=onlinesearch,25.788454,109.612429
知识科普型,博物馆,39013768,地质博物馆,4.5,6,涠洲岛南湾/五彩滩,北海,北海 · 涠洲岛南湾/五彩滩,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/35021b000001avma7E4CB.jpg,https://you.ctrip.com/sight/beihai140/3197929.html?scene=onlinesearch,21.029837,109.101462
知识科普型,博物馆,149691455,广西自然资源博物馆,5.0,1,国际会展中心/万象城/青秀山,南宁,南宁 · 国际会展中心/万象城/青秀山,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1mh1q12000mr280wgEE4B.jpg,https://you.ctrip.com/sight/nanning166/149691455.html?scene=onlinesearch,22.803891,108.401797
知识科普型,博物馆,79438796,昆仑关战役博物馆,0.0,4,,南宁,南宁,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/01A68120008cwuyoo895A.jpg,https://you.ctrip.com/sight/nanning166/5705118.html?scene=onlinesearch,23.096782,108.691716
知识科普型,博物馆,79436401,靖西市壮族博物馆,5.0,3,,靖西,靖西,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102k12000cauhrx2AE98.jpg,https://you.ctrip.com/sight/jingxi967/5702812.html?scene=onlinesearch,23.137484,106.421436
知识科普型,博物馆,51551873,罗城仫佬族博物馆,4.4,6,,罗城,罗城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102j12000aag47ah6A9A.jpg,https://you.ctrip.com/sight/luocheng3050/4553777.html?scene=onlinesearch,24.78449,108.883819
知识科普型,博物馆,39718131,来宾市博物馆,4.2,6,,来宾,来宾,,,了解历史变迁,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101p12000a0581mmFD6F.jpg,https://you.ctrip.com/sight/laibin839/3895692.html?scene=onlinesearch,23.759495,109.228329
知识科普型,博物馆,38383472,凭祥市博物馆,4.0,5,,凭祥,凭祥,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101n12000axkwapaB785.jpg,https://you.ctrip.com/sight/pingxiang840/2573533.html?scene=onlinesearch,22.119472,106.773475
知识科普型,博物馆,133527750,猫咪博物馆(城中万达店),0.0,0,窑埠古镇/万象城,柳州,柳州 · 窑埠古镇/万象城,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/01070120009ar9sopEDB2.jpg,https://you.ctrip.com/sight/liuzhou143/132707619.html?scene=onlinesearch,24.336167,109.447971
知识科普型,博物馆,145288134,千年红鸡血玉博物馆,3.0,2,,灵川,灵川,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ2j12000g8r2tft3BBE.jpg,https://you.ctrip.com/sight/lingchuan3064/145288134.html?scene=onlinesearch,25.374655,110.321497
知识科普型,博物馆,134100251,贵港自然博物馆,4.4,5,,贵港,贵港,,,,"科技馆, 博物馆",免费,是,https://dimg04.c-ctrip.com/images/0106k12000f6s44t8A19F.jpg,https://you.ctrip.com/sight/guigang711/134100251.html?scene=onlinesearch,23.07963,109.571741
知识科普型,博物馆,145138913,灵渠博物馆,0.0,0,,兴安县,兴安县,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ2312000g333mn9B8D5.jpg,https://you.ctrip.com/sight/xingancounty722/145138913.html?scene=onlinesearch,25.603676,110.690233
知识科普型,博物馆,10546684,凤山岩溶国家地质博物馆,3.8,14,,凤山,凤山,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/10071f000001h6yn09C49.jpg,https://you.ctrip.com/sight/fengshan2022/131891.html?scene=onlinesearch,24.556297,107.051629
知识科普型,博物馆,124906998,恭城瑶族博物馆,3.0,1,,恭城,恭城,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103s12000csg0soaB77B.jpg,https://you.ctrip.com/sight/gongcheng1446252/124906998.html?scene=onlinesearch,24.839988,110.83271
知识科普型,博物馆,38415587,桂林甑皮岩遗址博物馆,4.8,4,万福广场/汽车南站/玉圭园商圈,桂林,桂林 · 万福广场/汽车南站/玉圭园商圈,,,有代表性新石器时代的遗址,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/350h180000014gs9989BE.jpg,https://you.ctrip.com/sight/guilin28/2605448.html?scene=onlinesearch,25.218341,110.288731
知识科普型,博物馆,145478286,广西都安地下河国家地质公园博物馆,0.0,0,,都安,都安,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ0n12000g2v3sdzEDEC.jpg,https://you.ctrip.com/sight/duan3063/145478286.html?scene=onlinesearch,23.949066,108.108162
知识科普型,博物馆,30240363,宜州博物馆,4.7,16,,河池,河池,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101b12000a5qklu9CA95.jpg,https://you.ctrip.com/sight/hechi838/1979725.html?scene=onlinesearch,24.50725,108.644571
知识科普型,博物馆,145723617,海上丝绸之路博物馆,0.0,0,北海老街/金滩,北海,北海 · 北海老街/金滩,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ6t12000g37ntb03E51.jpg,https://you.ctrip.com/sight/beihai140/145723617.html?scene=onlinesearch,21.488209,109.117835
知识科普型,博物馆,90499218,北海汉晟古兵器博物馆,2.5,2,北海老街/金滩,北海,北海 · 北海老街/金滩,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104l12000f6rphwu3AFF.jpg,https://you.ctrip.com/sight/beihai140/90499218.html?scene=onlinesearch,21.493209,109.137928
知识科普型,博物馆,145233373,金田起义博物馆,0.0,0,,桂平,桂平,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/1me4j12000fteova8E358.jpg,https://you.ctrip.com/sight/guiping418/145233373.html?scene=onlinesearch,23.58657,110.091022
知识科普型,博物馆,51548588,北海市民间博物馆,4.3,3,红树林/园博园,北海,北海 · 红树林/园博园,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104212000br5fnqaD13B.jpg,https://you.ctrip.com/sight/beihai140/4571092.html?scene=onlinesearch,21.443712,109.186717
知识科普型,博物馆,52058505,上林县壮族老家博物馆,4.7,3,,上林,上林,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101512000axdz8to3CA4.jpg,https://you.ctrip.com/sight/shanglin120117/4648958.html?scene=onlinesearch,23.43013,108.612177
知识科普型,博物馆,24651171,乐业-凤山地质公园天坑博物馆,5.0,2,,乐业,乐业,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/10091g000001h7igaB545.jpg,https://you.ctrip.com/sight/leye968/1831978.html?scene=onlinesearch,24.779582,106.559462
知识科普型,博物馆,51551887,毛南族博物馆,4.9,8,,环江,环江,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103t12000f6u2w3n942D.jpg,https://you.ctrip.com/sight/huanjiang3058/4553787.html?scene=onlinesearch,24.829606,108.262056
知识科普型,博物馆,38632304,桂林鸡血玉博物馆,2.7,4,高新万达广场/高新区商圈,桂林,桂林 · 高新万达广场/高新区商圈,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0101412000c0a047j640D.jpg,https://you.ctrip.com/sight/guilin28/2819965.html?scene=onlinesearch,25.25479,110.326709
知识科普型,博物馆,30459622,容县博物馆,4.6,24,,容县,容县,,,容县历史文物展览,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/350t1d000001egythD615.jpg,https://you.ctrip.com/sight/rongcounty3044/1989230.html?scene=onlinesearch,22.862276,110.567237
知识科普型,博物馆,39649439,广西南丹县里湖白裤瑶生态博物馆,5.0,1,,南丹,南丹,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103v12000b0bqm6wBD90.jpg,https://you.ctrip.com/sight/nandan3059/3827600.html?scene=onlinesearch,25.121529,107.702956
知识科普型,博物馆,145295890,桂林理工大学地质博物馆,0.0,0,融创国际旅游度假区/大学城商圈,桂林,桂林 · 融创国际旅游度假区/大学城商圈,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ3d12000g8w5bj418D8.jpg,https://you.ctrip.com/sight/guilin28/145295890.html?scene=onlinesearch,25.070609,110.309697
知识科普型,博物馆,145660961,六堡茶博物馆,0.0,0,,苍梧,苍梧,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ1d12000g6rgeugFCC0.jpg,https://you.ctrip.com/sight/cangwu3052/145660961.html?scene=onlinesearch,23.816067,111.399538
知识科普型,博物馆,145256755,贺州民族文化博物馆,5.0,1,贺州学院商圈,贺州,贺州 · 贺州学院商圈,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0104y12000g069gkb25EA.jpg,https://you.ctrip.com/sight/hezhou707/145256755.html?scene=onlinesearch,24.418639,111.521088
知识科普型,博物馆,51551546,都安民族博物馆,5.0,1,,都安,都安,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100c12000c4hlo3j5A9F.jpg,https://you.ctrip.com/sight/duan3063/4553665.html?scene=onlinesearch,23.954454,108.130893
知识科普型,博物馆,38391628,田东县博物馆,4.5,2,,田东,田东,,,80万年前古人类文化遗址,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/35091d000001eks736AAC.png,https://you.ctrip.com/sight/tiandong1446248/2581589.html?scene=onlinesearch,23.605317,107.125664
知识科普型,博物馆,79438024,灵山博物馆,5.0,2,,灵山,灵山,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100a12000arwss2y0A9F.jpg,https://you.ctrip.com/sight/lingshan969/5704410.html?scene=onlinesearch,22.412029,109.301035
知识科普型,博物馆,38392333,平南县博物馆,3.6,8,,平南,平南,,,相思洲出土的原始人石器,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102l1200085urnex41A4.jpg,https://you.ctrip.com/sight/pingnan1398/2582294.html?scene=onlinesearch,23.553047,110.409207
知识科普型,博物馆,39074411,桂林观石堂鸡血玉博物馆,1.8,7,桂林火车站/万象城,桂林,桂林 · 桂林火车站/万象城,,,领略桂林鸡血玉的独特魅力和文化,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106l12000f6r0hbtD08D.jpg,https://you.ctrip.com/sight/guilin28/3257772.html?scene=onlinesearch,25.27663,110.273577
知识科普型,博物馆,145689750,西街民族博物馆,0.0,0,西街/阳朔公园商业区,阳朔,阳朔 · 西街/阳朔公园商业区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ4112000g8spds7189B.jpg,https://you.ctrip.com/sight/yangshuo702/145689750.html?scene=onlinesearch,24.782183,110.502316
知识科普型,博物馆,24654337,玉石文化博物馆,2.6,11,芦笛岩/鲁家村,桂林,桂林 · 芦笛岩/鲁家村,,,欣赏各种奇珍异石,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106s12000auh7m7m22BF.jpg,https://you.ctrip.com/sight/guilin28/1835104.html?scene=onlinesearch,25.288986,110.275558
知识科普型,博物馆,38456816,横州市博物馆,5.0,1,,横州,横州,,,"南宁市第一个县级博物馆, 博物馆同时冠名淮海书院","博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/35051d000001ekmz381EB.jpg,https://you.ctrip.com/sight/hengzhou966/2646377.html?scene=onlinesearch,22.683572,109.265946
知识科普型,博物馆,51609026,梧州龟苓膏博物馆,0.0,0,,梧州,梧州,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0106v12000czi6h6826C8.jpg,https://you.ctrip.com/sight/wuzhou142/4581875.html?scene=onlinesearch,23.531346,111.327021
知识科普型,博物馆,70521686,博白县博物馆,4.8,5,,博白,博白,,,玉林市爱国主义教育基地,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0104v12000cby3mcuDCF6.jpg,https://you.ctrip.com/sight/bobai3049/5623358.html?scene=onlinesearch,22.283971,109.992105
知识科普型,博物馆,130851199,猫咪博物馆(南宁万达茂店),0.0,0,五象新区总部基地/体育中心,南宁,南宁 · 五象新区总部基地/体育中心,,,,"特色展馆, 博物馆&展馆",门市价,否,https://dimg04.c-ctrip.com/images/0HJ1r12000g32utgp8006.jpg,https://you.ctrip.com/sight/nanning166/5717868.html?scene=onlinesearch,22.774991,108.437837
知识科普型,博物馆,51551758,贺州民间饮食文化博物馆,0.0,0,贺州市中心商圈,贺州,贺州 · 贺州市中心商圈,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0103712000az8q69mA550.jpg,https://you.ctrip.com/sight/hezhou707/4553725.html?scene=onlinesearch,24.422172,111.54055
知识科普型,博物馆,79437614,土司博物馆,0.0,0,,忻城,忻城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0HJ4y12000g62ffs02CF7.jpg,https://you.ctrip.com/sight/xincheng1446259/5703947.html?scene=onlinesearch,24.067632,108.679235
知识科普型,博物馆,10539573,南宁孔庙,4.5,217,国际会展中心/万象城/青秀山,南宁,南宁 · 国际会展中心/万象城/青秀山,南宁亲子景点榜 No.12,,历史悠久、祈福佳选,遛娃宝藏地,免费,是,https://dimg04.c-ctrip.com/images/0101112000mah38uc57FF.jpg,https://you.ctrip.com/sight/nanning166/122747.html?scene=onlinesearch,22.783927,108.400022
知识科普型,博物馆,24650006,象鼻山与桂林三花酒,4.3,48,城中心/象鼻山/两江四湖,桂林,桂林 · 城中心/象鼻山/两江四湖,,,曾是贮藏三花酒的官窖,"特色展馆, 场馆展馆",,否,https://dimg04.c-ctrip.com/images/0106w12000f6q1b5b626E.jpg,https://you.ctrip.com/sight/guilin28/1830835.html?scene=onlinesearch,25.27284,110.30088
知识科普型,博物馆,77465,民族文物苑,4.4,116,朝阳广场/中山路,南宁,南宁 · 朝阳广场/中山路,,,了解广西各民族传统文化,"特色展馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106r12000f6rbwjx7BC2.jpg,https://you.ctrip.com/sight/nanning166/8808.html?scene=onlinesearch,22.817495,108.341793
知识科普型,博物馆,77818,合浦汉墓群,4.2,56,,合浦,合浦,,,珍贵汉代出土文物,历史建筑,免费,是,https://dimg04.c-ctrip.com/images/0100p120009dn6jm1630E.jpg,https://you.ctrip.com/sight/hepu965/9373.html?scene=onlinesearch,21.649425,109.196326
知识科普型,博物馆,51754452,柳州邮电博物馆,5.0,2,五星商业街/地王公馆,柳州,柳州 · 五星商业街/地王公馆,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100812000a96z9494B14.jpg,https://you.ctrip.com/sight/liuzhou143/4603136.html?scene=onlinesearch,24.317586,109.423513
知识科普型,博物馆,131905109,广西自然博物馆地球与生物历史展,0.0,0,朝阳广场/中山路,南宁,南宁 · 朝阳广场/中山路,,,,,,否,https://dimg04.c-ctrip.com/images/0102j120009xac21w8419.jpg,https://you.ctrip.com/sight/nanning166/131905109.html?scene=onlinesearch,22.833299,108.33855
知识科普型,博物馆,145646569,国际动物博物馆白头叶猴馆,0.0,0,,崇左,崇左,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ4i12000g2uq6ka62D1.jpg,https://you.ctrip.com/sight/chongzuo837/145646569.html?scene=onlinesearch,22.269585,107.529926
知识科普型,博物馆,133549195,猫咪博物馆(临桂吾悦广场店),0.0,0,临桂新区/两江机场,桂林,桂林 · 临桂新区/两江机场,,,,"特色展馆, 博物馆",,否,https://dimg04.c-ctrip.com/images/0102k120009atuh2iC343.jpg,https://you.ctrip.com/sight/guilin28/133549195.html?scene=onlinesearch,25.255054,110.173329
知识科普型,博物馆,51596683,五皇山国家地质公园博物馆,5.0,1,,浦北,浦北,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0104v120009x2fw3vDE54.jpg,https://you.ctrip.com/sight/pubei3069/4580320.html?scene=onlinesearch,22.271266,109.551163
知识科普型,博物馆,79437560,桂平市博物馆,5.0,2,,桂平,桂平,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106k12000cfnsc6zC542.jpg,https://you.ctrip.com/sight/guiping418/5703960.html?scene=onlinesearch,23.397039,110.087872
知识科普型,博物馆,39524184,玉林市城市博物馆,5.0,1,玉林汽车总站/市中心,玉林,玉林 · 玉林汽车总站/市中心,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0100l12000d02u7b0EFD7.jpg,https://you.ctrip.com/sight/yulin141/3703645.html?scene=onlinesearch,22.633885,110.157198
知识科普型,博物馆,33834505,中共广西省工委历史博物馆,4.9,10,,钟山,钟山,,,,博物馆&展馆,免费,是,https://dimg04.c-ctrip.com/images/0107012000a86l9tvC90D.jpg,https://you.ctrip.com/sight/zhongshan3070/2485040.html?scene=onlinesearch,24.441929,111.097199
知识科普型,博物馆,79437598,大新县博物馆,0.0,0,大新县城区,大新,大新 · 大新县城区,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0HJ3312000g8xgett5AC7.jpg,https://you.ctrip.com/sight/daxin963/5703980.html?scene=onlinesearch,22.839315,107.204109
