大类,子类关键词,景点ID,名称,评分,评论数,区域,城市,地址,分类,等级,特色,标签,门票说明,是否免费,图片链接,详情链接,纬度,经度
知识科普型,博物馆,24650451,淮北市博物馆,4.7,73,,淮北,淮北,,,文物丰富，重现淮北历史,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100x120009cnbmwtC8F5.jpg,https://you.ctrip.com/sight/huaibei657/1831332.html?scene=onlinesearch,33.957737,116.805137
知识科普型,博物馆,39253449,绩溪博物馆,4.6,25,,绩溪,绩溪,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/1A0814000000wgcmm2111.jpg,https://you.ctrip.com/sight/jixi2627/3435410.html?scene=onlinesearch,30.077293,118.602079
知识科普型,博物馆,69538583,中国徽菜博物馆,5.0,2,,黄山,黄山,,,,"博物馆, 博物馆&展馆",,否,https://dimg04.c-ctrip.com/images/0102a12000d04umn97FDB.png,https://you.ctrip.com/sight/huangshan120061/69538583.html?scene=onlinesearch,29.725866,118.277869
知识科普型,博物馆,24653984,宿州博物馆,4.8,156,,宿州,宿州,,4A,走进宿州历史，了解汉文化,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0106s12000f6q6otd002F.jpg,https://you.ctrip.com/sight/suzhou672/1834774.html?scene=onlinesearch,33.649614,116.970671
知识科普型,博物馆,39185298,蚌埠市博物馆新馆,4.6,41,高校区,蚌埠,蚌埠 · 高校区,,4A,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101q12000ijkqiw60B48.jpg,https://you.ctrip.com/sight/bengbu205/3367859.html?scene=onlinesearch,32.91887,117.392597
知识科普型,博物馆,39683348,池州市博物馆,4.6,7,,池州,池州,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0105r12000bbdgag51D84.jpg,https://you.ctrip.com/sight/chizhou825/3861209.html?scene=onlinesearch,30.664508,117.494827
知识科普型,博物馆,24651555,马鞍山市博物馆,4.9,62,马鞍山市中心,马鞍山,马鞍山 · 马鞍山市中心,,,建筑设计与生态环境交融,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0100n1200092lnnjfCAF6.jpg,https://you.ctrip.com/sight/maanshan503/1832393.html?scene=onlinesearch,31.670201,118.512202
知识科普型,博物馆,79042517,淮南市博物馆,4.4,25,淮南站/吾悦广场,淮南,淮南 · 淮南站/吾悦广场,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0102a12000azft4ta1984.jpg,https://you.ctrip.com/sight/huainan638/5700936.html?scene=onlinesearch,32.630862,117.002241
知识科普型,博物馆,134049925,中国桐城文化博物馆,5.0,10,,桐城,桐城,,,,"博物馆, 博物馆&展馆",免费,是,https://dimg04.c-ctrip.com/images/0101j12000atmx1ug55D5.jpg,https://you.ctrip.com/sight/tongcheng1847/134049925.html?scene=onlinesearch,31.057975,116.9583
知识科普型,博物馆,88102,金寨县革命博物馆,0.0,68,,金寨,金寨,,,参观革命历史陈列厅,"博物馆&展馆, 场馆展馆",免费,是,https://dimg04.c-ctrip.com/images/0103z12000f6qw5655127.jpg,https://you.ctrip.com/sight/jinzhai2623/65767.html?scene=onlinesearch,31.689699,115.88086
知识科普型,博物馆,145674521,军事博物馆,0.0,0,悠然蓝溪度假区,六安,六安 · 悠然蓝溪度假区,,,,博物馆&展馆,,否,https://dimg04.c-ctrip.com/images/0HJ2012000g914ei2ED12.jpg,https://you.ctrip.com/sight/luan502/145674521.html?scene=onlinesearch,31.778238,116.66063
知识科普型,博物馆,79438427,查济艺术博物馆,5.0,4,查济古建筑群,泾县,泾县 · 查济古建筑群,,,,"特色展馆, 博物馆",,否,https://dimg04.c-ctrip.com/images/010731200086xyhhz27EC.jpg,https://you.ctrip.com/sight/jingcounty2616/5704800.html?scene=onlinesearch,30.522032,118.046056
